Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",69.41,-0.09,-0.13%,69.63,68.71,2179100,10/09/18
AAL,"American Airlines Gp",33.55,-2.35,-6.55%,36.39,33.41,19662600,10/09/18
AAP,"Advance Auto Parts Inc",168.89,0.53,+0.31%,171.5,168.16,850400,10/09/18
AAPL,"Apple Inc",226.87,3.1,+1.39%,227.27,222.25,26891000,10/09/18
ABBV,"Abbvie Inc",94.57,-0.24,-0.25%,95.26,93.8,3625900,10/09/18
ABC,"Amerisourcebergen Corp",90.92,-0.37,-0.41%,91.8,90.43,1157800,10/09/18
ABMD,"Abiomed Inc",395.08,-3.93,-0.98%,408.87,393.96,536300,10/09/18
ABT,"Abbott Laboratories",71.29,-0.15,-0.21%,71.59,70.87,4812200,10/09/18
ACN,"Accenture Plc",168.8,-1.1,-0.65%,169.88,168.11,2027900,10/09/18
ADBE,"Adobe Systems Inc",254.16,-0.53,-0.21%,258.72,251.71,2597700,10/09/18
ADI,"Analog Devices",86.76,0.28,+0.32%,86.95,85.59,3950200,10/09/18
ADM,"Archer Daniels Midland Company",51.45,-0.34,-0.66%,51.96,51.37,3485300,10/09/18
ADP,"Automatic Data Procs",150.14,0.84,+0.56%,152.36,149.22,1398600,10/09/18
ADS,"Alliance Data Systems Corp",227.26,-2.16,-0.94%,230.12,225.78,313000,10/09/18
ADSK,"Autodesk Inc",142.86,-3.35,-2.29%,148.13,142.7,2442400,10/09/18
AEE,"Ameren Corp",66.33,0.68,+1.04%,66.64,65.59,1625800,10/09/18
AEP,"American Electric Power Company",73.05,0.2,+0.27%,73.48,72.48,3228300,10/09/18
AES,"The Aes Corp",14.82,0.05,+0.34%,14.86,14.71,7623900,10/09/18
AET,"Aetna Inc",203.72,-0.39,-0.19%,204.64,203.24,964200,10/09/18
AFL,"Aflac Incorporated",47.41,0.28,+0.59%,47.52,46.75,2502700,10/09/18
AGN,"Allergan Plc",192.16,2.53,+1.33%,192.4,187.07,1272800,10/09/18
AIG,"American International Group",53.82,-0.23,-0.43%,54.14,53.46,3625000,10/09/18
AIV,"Apartment Investment and Management",44.37,0.22,+0.50%,44.41,43.89,1055800,10/09/18
AIZ,"Assurant Inc",108.4,-0.04,-0.04%,108.61,107.68,406200,10/09/18
AJG,"Arthur J. Gallagher & Co",75.41,-0.07,-0.09%,75.75,75.11,543300,10/09/18
AKAM,"Akamai Technologies",64.93,-0.45,-0.69%,65.86,64.79,1269600,10/09/18
ALB,"Albemarle Corp",97.28,-4.97,-4.86%,101.2,96.97,2716200,10/09/18
ALGN,"Align Technology I",340.97,-1.9,-0.55%,346.77,336.02,1025500,10/09/18
ALK,"Alaska Air Group",62.61,-2.7,-4.13%,65.02,62.36,3395200,10/09/18
ALL,"Allstate Corp",100.46,0.37,+0.37%,100.55,99.41,1240400,10/09/18
ALLE,"Allegion Plc Ordinary Shares Wh",87.62,-0.75,-0.85%,89.28,86.78,882900,10/09/18
ALXN,"Alexion Pharm Inc",130.58,1.12,+0.87%,132.27,128.54,1384500,10/09/18
AMAT,"Applied Materials",35.72,-0.87,-2.38%,36.58,35.69,13392601,10/09/18
AMD,"Adv Micro Devices",27.24,0.78,+2.95%,27.71,26,105461695,10/09/18
AME,"Amtek Inc",76.8,-1.12,-1.44%,77.92,76.76,1036100,10/09/18
AMG,"Affiliated Managers Group",131.27,-2.28,-1.71%,133.02,130.52,462200,10/09/18
AMGN,"Amgen Inc",206,0.43,+0.21%,208.08,204.49,2509100,10/09/18
AMP,"Ameriprise Financial Services",149.02,-2,-1.32%,150.37,147.61,772700,10/09/18
AMT,"American Tower Corp",147.65,1.86,+1.28%,147.89,145.37,1782200,10/09/18
AMZN,"Amazon.com Inc",1870.32,5.9,+0.32%,1896.68,1852.32,4772800,10/09/18
ANET,"Arista Networks Inc",238.65,-4.56,-1.87%,244.99,235.53,1160300,10/09/18
ANSS,"Ansys Inc",165.84,-2.43,-1.44%,170.45,164.65,771800,10/09/18
ANTM,"Anthem Inc",279.18,1.79,+0.65%,280.43,275.22,923800,10/09/18
AON,"AON Plc",157.12,0.91,+0.58%,157.53,155.09,647600,10/09/18
AOS,"Smith [A.O.] Corp",49.86,-1.91,-3.69%,51.86,49.8,1723600,10/09/18
APA,"Apache Corp",49.3,1.3,+2.71%,50.03,48.19,4394100,10/09/18
APC,"Anadarko Petroleum Corp",70.61,1.34,+1.93%,71.11,69.36,3586500,10/09/18
APD,"Air Products and Chemicals",164.32,-4.96,-2.93%,168.62,163.8,1051000,10/09/18
APH,"Amphenol Corp",90.19,0.89,+1.00%,90.59,89.42,2080400,10/09/18
APTV,"Aptiv Plc",76.56,-3.14,-3.94%,79.96,76.12,3782800,10/09/18
ARE,"Alexandria Real Estate Equities",125.96,0.61,+0.49%,126,123.9,811500,10/09/18
ARNC,"Arconic Inc",22.84,-0.56,-2.39%,23.45,22.58,4624500,10/09/18
ATVI,"Activision Blizzard",77.64,0.01,+0.01%,78.85,76.62,4617800,10/09/18
AVB,"Avalonbay Communities",181.13,1.8,+1.00%,181.28,178.14,556600,10/09/18
AVGO,"Broadcom Ltd",244.7,3.33,+1.38%,245.73,240.37,2467500,10/09/18
AVY,"Avery Dennison Corp",104.72,-2.19,-2.05%,106.63,104.51,581200,10/09/18
AWK,"American Water Works",90.57,0.64,+0.71%,90.68,89.72,781800,10/09/18
AXP,"American Express Company",106.66,-0.33,-0.31%,106.93,105.93,2604300,10/09/18
AZO,Autozone,782.59,-5.88,-0.75%,794.68,781.89,267300,10/09/18
BA,"Boeing Company",385.44,-0.33,-0.09%,386.82,381.14,2862700,10/09/18
BAC,"Bank of America Corp",29.98,-0.29,-0.96%,30.19,29.87,58868598,10/09/18
BAX,"Baxter International Inc",72.98,-0.35,-0.48%,73.53,72.71,3180100,10/09/18
BBT,"BB&T Corp",49.43,-0.31,-0.62%,49.67,49.22,3405600,10/09/18
BBY,"Best Buy Co",71.34,-0.04,-0.06%,72.94,70.77,4040800,10/09/18
BDX,"Becton Dickinson and Company",250.5,0.13,+0.05%,252.26,248.59,601700,10/09/18
BEN,"Franklin Resources",30.56,-0.38,-1.23%,30.88,30.3,2846500,10/09/18
BF.B,"Brown Forman Inc Cl B",50.17,0.43,+0.86%,50.38,49.57,1092400,10/09/18
BHF,"Brighthouse Financial Inc",45.77,-0.55,-1.19%,46.45,45.5,664000,10/09/18
BHGE,"Baker Hughes A Ge Co. Cl. A",32.63,0.74,+2.32%,32.99,31.75,2625800,10/09/18
BIIB,"Biogen Inc",344.57,1.54,+0.45%,346.42,341.15,778800,10/09/18
BK,"Bank of New York Mellon Corp",52.23,-0.55,-1.04%,52.52,51.97,3695900,10/09/18
BKNG,"Booking Holdings Inc",1870.5,-30.4,-1.60%,1915.66,1869.21,327800,10/09/18
BLK,Blackrock,459.71,-11.75,-2.49%,470.98,459.08,875400,10/09/18
BLL,"Ball Corp",45.72,-0.63,-1.36%,46.24,45.69,4262400,10/09/18
BMY,"Bristol-Myers Squibb Company",63.23,0.33,+0.52%,63.69,62.47,6618800,10/09/18
BR,"Broadridge Financial Solutions Llc",125.59,0.43,+0.34%,126.04,123.1,720400,10/09/18
BRK.B,"Berkshire Hath Hld Cl B",223.76,1.7,+0.77%,223.94,221.01,4516400,10/09/18
BSX,"Boston Scientific Corp",37.41,0.11,+0.29%,37.58,37.11,6492100,10/09/18
BWA,"Borgwarner Inc",40.9,-1.34,-3.17%,42.13,40.75,2632700,10/09/18
BXP,"Boston Properties",120.31,0.55,+0.46%,120.56,118.92,792600,10/09/18
C,"Citigroup Inc",71.89,-0.7,-0.96%,72.7,71.41,15654400,10/09/18
CA,"CA Inc",44,0.03,+0.07%,44.09,44,2244900,10/09/18
CAG,"Conagra Brands Inc",35.57,0.92,+2.66%,35.76,34.51,10054700,10/09/18
CAH,"Cardinal Health",54.38,-0.06,-0.11%,54.55,53.36,1834900,10/09/18
CAT,"Caterpillar Inc",149.46,-3.89,-2.54%,152.61,149.08,4996900,10/09/18
CB,"Chubb Ltd",136.59,0.43,+0.32%,136.9,134.26,1414800,10/09/18
CBOE,"CBOE Global Markets Inc",101.4,1.48,+1.48%,101.97,98.77,1204600,10/09/18
CBRE,"CBRE Group Inc",41.2,-0.86,-2.04%,42.27,41.03,4106700,10/09/18
CBS,"CBS Corp",57.38,0.33,+0.58%,58.53,56.67,4638100,10/09/18
CCI,"Crown Castle International Corp",111.07,0.8,+0.73%,112.07,110.19,2330300,10/09/18
CCL,"Carnival Corp",60.52,-0.57,-0.93%,61.23,60.19,3078000,10/09/18
CDNS,"Cadence Design Sys",41.31,-0.1,-0.24%,41.86,40.97,1528900,10/09/18
CELG,"Celgene Corp",86.76,-0.73,-0.83%,87.73,86.27,3293200,10/09/18
CERN,"Cerner Corp",63.57,-0.15,-0.24%,64.08,63.35,877800,10/09/18
CF,"Cf Industries Holdings",54.81,-0.52,-0.94%,55.92,54.66,1828500,10/09/18
CFG,"Citizens Financial Group Inc/Ri",38.97,-0.26,-0.66%,39.35,38.84,3448200,10/09/18
CHD,"Church & Dwight Company",59.42,-0.38,-0.64%,60.16,59.29,968600,10/09/18
CHRW,"C.H. Robinson Ww",96.25,-1.51,-1.54%,98.16,96.15,961500,10/09/18
